regions,population
Anhui,62550000
Beijing,21710000
Chongqing,30750000
Fujian,39110000
Gansu,26260000
Guangdong,111690000
Guangxi,48850000
Guizhou,35550000
Hainan,9170000
Hebei,75200000
Heilongjiang,37890000
Henan,95590000
Hubei,59020000
Hunan,68600000
Inner Mongolia,25290000
Jiangsu,80290000
Jiangxi,46220000
Jilin,27170000
Liaoning,43690000
Ningxia,6820000
Qinghai,5980000
Shaanxi,38350000
Shandong,100060000
Shanghai,24180000
Shanxi,36820000
Sichuan,83020000
Tianjin,15570000
Tibet,3370000
Xinjiang,24450000
Yunnan,48010000
Zhejiang,56570000
